Sample_ID,Variety,Soil_pH,N (Nitrogen),P (Phosphorus),K (Potassium),Organic_Matter (kg compost),Temperature (°C),Rainfall (mm),Elevation (m),Soil_Type,Beneficial_Microbes (CFU/g),Harmful_Microbes (CFU/g),Microbial_Activity,Soil_Organic_Carbon,Microbial_Biomass_C (g/kg),Soil_Enzyme_Activity,Disease (Yes/No),Disease_Name,Nutrient_Deficiency,Weather_Condition,Crop_Yield (kg/palm)
12,SK Local,6.3,115,53,152,13.7,27,1830,710,Laterite,1.7 x 10^7,0,High,2.0%,311,High,No,None,None,Rainy,3.25
13,Mangala,5.6,116,56,150,12.6,25,1915,820,Laterite,1.8 x 10^7,0,High,1.9%,339,High,No,None,None,Dry,4.25
14,SK Local,6.5,113,55,142,12.9,25,1980,750,Laterite,1.7 x 10^7,0,High,1.9%,316,High,No,None,None,Dry,3.85
15,Shreemangala,6.2,100,58,150,13.4,26,1746,774,Red loam,1.7 x 10^7,0,High,1.8%,320,High,No,None,None,Dry,5.38
16,Shreemangala,5.3,87,58,136,10.1,25,1937,866,Alluvial,1.4 x 10^7,1.1 x 10^5,High,1.9%,253,High,No,None,Potassium,Dry,1.99
17,SK Local,6.1,125,53,130,14.2,29,2116,921,Laterite,1.1 x 10^7,2.8 x 10^5,Low,1.6%,256,Low,No,None,Potassium,Rainy,1.74
18,Mangala,6.6,125,44,126,10.2,27,2444,799,Alluvial,1.3 x 10^7,1.6 x 10^5,Low,1.5%,269,Moderate,Yes,Spindle Bug,Phosphorus,Dry,1.5
19,SK Local,5.7,95,43,140,12.5,29,2246,731,Laterite,1.5 x 10^7,0.8 x 10^5,Low,2.0%,341,Moderate,No,None,None,Humid,2.53
20,Sumangala,5.0,127,52,128,13.8,28,2257,574,Laterite,1.3 x 10^7,1.6 x 10^5,Low,1.9%,313,Low,No,None,Potassium,Humid,2.29
21,Sumangala,6.2,90,58,145,13.7,27,2075,835,Alluvial,1.4 x 10^7,0.2 x 10^5,High,1.6%,254,Moderate,No,None,None,Rainy,4.13
22,Mangala,5.8,105,60,142,14.7,25,1669,508,Alluvial,1.6 x 10^7,0,High,2.0%,303,High,No,None,None,Humid,4.55
23,Sumangala,5.5,103,54,140,13.7,28,1543,734,Alluvial,1.8 x 10^7,0,High,1.9%,348,High,No,None,None,Dry,5.09
24,Sumangala,5.6,102,56,152,13.4,25,1961,607,Alluvial,1.7 x 10^7,0,High,1.9%,325,High,No,None,None,Rainy,4.49
25,Shreemangala,5.1,102,59,128,10.3,28,1360,704,Laterite,1.2 x 10^7,0.4 x 10^5,Low,1.6%,292,Moderate,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.23
26,Mangala,6.5,111,59,141,13.9,28,1757,836,Alluvial,1.7 x 10^7,0,High,1.9%,328,High,No,None,None,Humid,4.44
27,Mangala,5.6,107,50,149,14.9,21,1438,628,Alluvial,1.4 x 10^7,1.2 x 10^5,Low,1.6%,332,Moderate,Yes,Koleroga (Mahali),None,Rainy,1.56
28,Shreemangala,7.0,109,40,147,12.6,27,2363,917,Red loam,1.1 x 10^7,1.3 x 10^5,High,1.6%,268,Low,No,None,Phosphorus,Humid,2.26
29,Mangala,5.9,107,43,125,11.6,26,1877,780,Alluvial,1.4 x 10^7,0.2 x 10^5,Moderate,1.7%,348,High,No,None,Potassium,Humid,2.71
30,Sumangala,6.3,109,58,157,13.1,28,1575,554,Red loam,1.7 x 10^7,0,High,2.0%,315,High,No,None,None,Humid,5.2
31,Mangala,5.7,115,53,160,13.2,25,1838,935,Red loam,1.5 x 10^7,0,High,1.8%,306,High,No,None,None,Rainy,4.57
32,Mangala,6.2,110,52,159,12.4,25,1522,945,Laterite,1.8 x 10^7,0,High,2.0%,305,High,No,None,None,Humid,4.71
33,Sumangala,6.0,118,52,158,14.1,24,1754,651,Alluvial,1.8 x 10^7,0,High,1.8%,320,High,No,None,None,Dry,4.9
34,Shreemangala,6.3,112,58,144,12.8,24,1689,796,Red loam,1.9 x 10^7,0,High,1.9%,309,High,No,None,None,Dry,4.46
35,Shreemangala,6.3,107,60,141,13.5,25,1708,895,Laterite,1.7 x 10^7,0,High,1.9%,318,High,No,None,None,Rainy,4.59
36,Mangala,6.4,106,52,159,13.1,26,1949,700,Alluvial,1.6 x 10^7,0,High,1.9%,334,High,No,None,None,Rainy,4.75
37,Sumangala,6.4,104,51,148,13.9,25,1980,664,Red loam,1.6 x 10^7,0,High,1.9%,340,High,No,None,None,Rainy,4.71
38,Mangala,6.2,95,47,124,10.2,23,1663,577,Laterite,1.5 x 10^7,1.8 x 10^5,Moderate,1.6%,312,Low,Yes,Spindle Bug,Phosphorus,Humid,1.35
39,SK Local,5.8,125,57,139,11.7,20,1684,605,Alluvial,1.2 x 10^7,0.1 x 10^5,Low,1.6%,309,Moderate,Yes,Koleroga (Mahali),Potassium,Dry,1.08
40,SK Local,6.1,106,47,153,12.6,21,1398,540,Alluvial,1.4 x 10^7,1.3 x 10^5,High,1.8%,280,High,Yes,Koleroga (Mahali),Nitrogen,Dry,1.13
41,Shreemangala,6.0,108,52,144,14.3,26,1518,745,Red loam,1.7 x 10^7,0,High,1.9%,347,High,No,None,None,Rainy,4.85
42,Shreemangala,5.7,113,57,142,13.3,26,1889,578,Alluvial,1.9 x 10^7,0,High,1.8%,326,High,No,None,None,Humid,5.71
43,Mangala,7.0,130,50,160,10.9,28,1913,833,Red loam,1.1 x 10^7,1.5 x 10^5,Low,1.7%,338,Low,No,None,Potassium,Rainy,2.24
44,SK Local,5.6,128,55,150,12.1,27,1370,679,Alluvial,1.1 x 10^7,1.6 x 10^5,High,1.7%,305,High,No,None,Phosphorus,Humid,2.09
45,SK Local,6.1,101,51,140,14.8,24,1758,523,Alluvial,1.6 x 10^7,0,High,2.0%,303,High,No,None,None,Dry,3.73
46,Mangala,6.6,97,56,120,10.0,24,2189,789,Alluvial,1.1 x 10^7,2.0 x 10^5,Low,1.9%,268,High,No,None,Nitrogen,Rainy,1.93
47,Sumangala,5.8,109,56,153,14.6,25,1579,979,Alluvial,1.7 x 10^7,0,High,2.0%,330,High,No,None,None,Humid,4.62
48,SK Local,5.6,126,44,150,14.2,26,1609,551,Red loam,1.1 x 10^7,0.4 x 10^5,Moderate,1.3%,258,Moderate,No,None,Phosphorus,Humid,2.46
49,Shreemangala,6.2,119,53,152,12.7,25,1744,731,Alluvial,1.9 x 10^7,0,High,1.8%,331,High,No,None,None,Humid,5.06
50,Sumangala,5.9,102,53,158,12.3,24,1709,983,Alluvial,1.5 x 10^7,0,High,1.8%,347,High,No,None,None,Dry,4.13
51,Sumangala,6.8,86,41,145,14.9,23,2202,705,Alluvial,1.0 x 10^7,2.5 x 10^5,Low,1.7%,341,High,Yes,Koleroga (Mahali),None,Rainy,1.64
52,Sumangala,5.7,118,53,141,12.1,26,1718,948,Red loam,1.6 x 10^7,0,High,2.0%,328,High,No,None,None,Rainy,4.32
53,SK Local,5.8,99,49,154,13.6,30,1683,644,Red loam,1.5 x 10^7,2.2 x 10^5,Moderate,1.7%,280,Low,Yes,Spindle Bug,Nitrogen,Rainy,1.43
54,Mangala,6.1,103,40,132,12.5,28,1680,683,Red loam,1.3 x 10^7,1.6 x 10^5,Moderate,1.8%,278,Moderate,Yes,Spindle Bug,None,Dry,1.88
55,Sumangala,6.4,118,56,158,13.4,28,1923,509,Red loam,1.6 x 10^7,0,High,2.0%,311,High,No,None,None,Humid,5.06
56,Sumangala,5.8,120,51,157,14.3,24,1930,648,Laterite,1.5 x 10^7,0,High,1.8%,345,High,No,None,None,Dry,5.07
57,Sumangala,5.3,83,51,131,10.7,26,1773,607,Laterite,1.2 x 10^7,1.6 x 10^5,Moderate,1.3%,267,Moderate,Yes,Spindle Bug,Phosphorus,Humid,1.3
58,Sumangala,6.4,116,48,122,14.0,23,2357,817,Alluvial,1.2 x 10^7,0.6 x 10^5,High,1.9%,302,Moderate,No,None,None,Rainy,3.78
59,Shreemangala,6.2,106,58,141,13.2,26,1965,566,Alluvial,1.9 x 10^7,0,High,1.9%,345,High,No,None,None,Dry,5.22
60,Shreemangala,6.4,103,52,158,14.4,25,1740,602,Laterite,1.9 x 10^7,0,High,1.8%,345,High,No,None,None,Rainy,5.2
61,SK Local,6.9,103,49,153,13.8,25,1899,669,Laterite,1.1 x 10^7,0.1 x 10^5,High,1.4%,262,Low,Yes,Spindle Bug,None,Rainy,2.23
62,Mangala,5.1,128,57,128,11.7,25,2395,956,Red loam,1.2 x 10^7,2.2 x 10^5,High,1.7%,294,Low,Yes,Spindle Bug,Phosphorus,Dry,1.91
63,SK Local,6.4,109,53,145,11.2,28,2456,786,Alluvial,1.5 x 10^7,2.0 x 10^5,High,2.0%,304,Moderate,No,None,Phosphorus,Dry,2.0
64,Shreemangala,6.2,102,53,159,13.2,24,1526,576,Laterite,1.8 x 10^7,0,High,2.0%,333,High,No,None,None,Humid,5.67
65,Sumangala,5.4,111,58,158,12.1,27,2010,672,Laterite,1.1 x 10^7,0.7 x 10^5,Low,1.3%,255,Low,Yes,Spindle Bug,Nitrogen,Rainy,2.22
66,Mangala,5.8,113,60,151,13.8,24,1792,982,Red loam,1.8 x 10^7,0,High,1.9%,318,High,No,None,None,Dry,4.22
67,Mangala,5.8,105,57,158,12.5,24,1964,644,Laterite,1.6 x 10^7,0,High,2.0%,311,High,No,None,None,Dry,4.72
68,SK Local,6.0,113,56,148,13.5,28,1957,992,Red loam,1.9 x 10^7,0,High,2.0%,341,High,No,None,None,Humid,4.03
69,Mangala,6.9,92,43,160,11.5,27,1981,960,Laterite,1.0 x 10^7,1.1 x 10^5,Moderate,1.4%,255,Moderate,Yes,Koleroga (Mahali),Phosphorus,Dry,1.0
70,Sumangala,6.5,108,60,154,14.6,28,1753,851,Alluvial,1.7 x 10^7,0,High,2.0%,317,High,No,None,None,Humid,5.45
71,Mangala,5.7,101,49,132,10.7,26,1719,938,Alluvial,1.1 x 10^7,1.5 x 10^5,Low,1.3%,300,Low,No,None,Nitrogen,Dry,1.87
72,Mangala,6.1,103,50,141,13.8,25,1729,769,Red loam,1.7 x 10^7,0,High,1.8%,333,High,No,None,None,Rainy,4.49
73,Mangala,5.7,115,53,148,12.4,24,1698,952,Alluvial,1.6 x 10^7,0,High,2.0%,328,High,No,None,None,Rainy,4.49
74,Shreemangala,5.9,119,50,157,14.5,26,1710,520,Alluvial,1.7 x 10^7,0,High,1.9%,328,High,No,None,None,Humid,4.58
75,Mangala,5.6,120,59,159,14.4,25,1577,707,Red loam,1.7 x 10^7,0,High,2.0%,326,High,No,None,None,Rainy,5.55
76,SK Local,5.8,100,58,137,13.3,27,1489,742,Laterite,1.1 x 10^7,0.9 x 10^5,Low,1.3%,313,Low,No,None,None,Rainy,2.52
77,Sumangala,5.1,82,54,141,14.5,27,1881,684,Red loam,1.2 x 10^7,2.8 x 10^5,High,1.7%,329,Moderate,Yes,Spindle Bug,None,Dry,2.3
78,SK Local,6.5,98,53,146,11.1,30,1915,965,Red loam,1.2 x 10^7,2.7 x 10^5,Low,1.8%,260,Low,No,None,Potassium,Rainy,1.78
79,SK Local,6.2,110,53,156,12.3,27,1520,675,Laterite,1.7 x 10^7,0,High,1.9%,317,High,No,None,None,Dry,3.14
80,Sumangala,6.3,126,56,152,13.7,26,2341,645,Alluvial,1.4 x 10^7,2.3 x 10^5,High,1.9%,298,Moderate,Yes,Koleroga (Mahali),Nitrogen,Humid,1.85
81,SK Local,5.8,102,57,157,12.7,27,1921,750,Alluvial,1.8 x 10^7,0,High,1.8%,313,High,No,None,None,Dry,3.51
82,Shreemangala,6.0,111,42,135,14.9,20,2087,970,Red loam,1.2 x 10^7,0.5 x 10^5,Low,1.8%,335,Moderate,Yes,Spindle Bug,Nitrogen,Rainy,2.5
83,Sumangala,5.6,114,60,160,14.8,25,1526,584,Alluvial,1.9 x 10^7,0,High,1.8%,337,High,No,None,None,Dry,5.7
84,Shreemangala,6.6,95,40,138,11.5,29,1891,953,Alluvial,1.5 x 10^7,1.4 x 10^5,High,1.2%,340,Low,No,None,Potassium,Rainy,2.02
85,Mangala,6.7,129,40,139,13.6,26,1773,903,Laterite,1.1 x 10^7,1.6 x 10^5,Low,1.9%,342,Moderate,No,None,None,Dry,2.15
86,Mangala,5.1,86,56,152,14.5,21,2146,908,Laterite,1.5 x 10^7,2.8 x 10^5,Low,1.7%,344,High,Yes,Koleroga (Mahali),None,Rainy,1.69
87,Sumangala,5.7,101,55,152,14.2,27,1704,906,Red loam,1.9 x 10^7,0,High,1.8%,326,High,No,None,None,Dry,4.84
88,SK Local,6.5,104,55,148,14.9,26,1887,705,Alluvial,1.9 x 10^7,0,High,1.9%,346,High,No,None,None,Humid,3.02
89,Sumangala,5.3,87,43,153,12.8,21,1916,985,Laterite,1.4 x 10^7,0.7 x 10^5,High,1.7%,349,High,No,None,Phosphorus,Humid,2.66
90,Shreemangala,6.2,81,49,128,14.8,29,1741,623,Laterite,1.1 x 10^7,2.8 x 10^5,High,1.3%,285,Low,Yes,Koleroga (Mahali),Potassium,Rainy,1.5
91,Mangala,6.2,114,59,144,12.7,28,1829,525,Laterite,1.6 x 10^7,0,High,1.8%,318,High,No,None,None,Dry,4.08
92,Sumangala,5.9,126,51,135,12.3,20,1650,805,Alluvial,1.1 x 10^7,0.3 x 10^5,High,1.2%,273,Moderate,No,None,Nitrogen,Rainy,3.3
93,Sumangala,6.1,108,56,153,12.9,26,1557,916,Red loam,1.6 x 10^7,0,High,1.8%,346,High,No,None,None,Rainy,4.98
94,Sumangala,6.2,101,54,160,12.4,26,1880,771,Red loam,1.7 x 10^7,0,High,1.8%,335,High,No,None,None,Dry,4.32
95,SK Local,5.3,96,46,148,10.6,30,1965,839,Laterite,1.1 x 10^7,2.8 x 10^5,Moderate,1.4%,307,High,Yes,Koleroga (Mahali),None,Humid,1.06
96,Sumangala,5.9,114,55,158,12.8,24,1645,774,Laterite,1.9 x 10^7,0,High,1.9%,341,High,No,None,None,Dry,4.48
97,Mangala,5.6,102,59,155,12.8,25,1715,976,Alluvial,1.6 x 10^7,0,High,1.9%,324,High,No,None,None,Humid,4.91
98,Shreemangala,6.4,103,55,143,12.9,27,1769,716,Red loam,2.0 x 10^7,0,High,1.9%,321,High,No,None,None,Dry,5.36
99,SK Local,5.6,84,44,128,10.7,29,1508,610,Red loam,1.1 x 10^7,2.6 x 10^5,Moderate,1.7%,303,Moderate,No,None,None,Rainy,1.83
100,Shreemangala,5.5,111,53,157,11.6,22,1364,712,Red loam,1.3 x 10^7,2.1 x 10^5,High,1.7%,286,Moderate,Yes,Spindle Bug,Potassium,Humid,2.07
101,SK Local,5.9,84,55,122,11.5,25,1746,814,Red loam,1.4 x 10^7,1.3 x 10^5,High,1.3%,342,Low,No,None,None,Dry,1.95
102,SK Local,5.5,109,59,154,13.5,27,1630,943,Red loam,1.5 x 10^7,0,High,2.0%,350,High,No,None,None,Dry,3.72
103,Shreemangala,5.2,125,40,127,14.3,25,2441,940,Laterite,1.4 x 10^7,1.1 x 10^5,Low,1.9%,337,Low,No,None,None,Humid,2.48
104,Sumangala,7.0,125,49,147,12.0,25,2274,702,Alluvial,1.0 x 10^7,2.1 x 10^5,Low,1.8%,301,High,Yes,Spindle Bug,Potassium,Rainy,1.82
105,Sumangala,6.1,100,53,155,13.4,27,1692,961,Alluvial,1.8 x 10^7,0,High,1.9%,318,High,No,None,None,Rainy,4.92
106,Mangala,5.6,111,57,142,12.4,27,1973,707,Red loam,1.9 x 10^7,0,High,1.8%,313,High,No,None,None,Rainy,4.61
107,Shreemangala,6.3,117,55,148,14.0,26,1814,709,Alluvial,1.6 x 10^7,0,High,2.0%,319,High,No,None,None,Humid,4.49
108,SK Local,5.0,116,49,124,13.6,28,1510,838,Alluvial,1.3 x 10^7,1.1 x 10^5,Low,1.5%,304,Moderate,No,None,None,Dry,1.82
109,Sumangala,6.3,115,58,153,13.0,24,1834,971,Red loam,1.7 x 10^7,0,High,1.8%,318,High,No,None,None,Rainy,5.53
110,Shreemangala,6.3,103,50,145,12.0,27,1926,765,Alluvial,1.7 x 10^7,0,High,1.8%,325,High,No,None,None,Rainy,4.54
111,Mangala,6.4,118,59,158,13.2,26,1985,612,Alluvial,1.6 x 10^7,0,High,1.9%,320,High,No,None,None,Humid,4.71
112,Sumangala,5.7,105,60,155,13.2,24,1986,756,Red loam,1.8 x 10^7,0,High,1.8%,311,High,No,None,None,Humid,5.33
113,Shreemangala,6.0,101,60,145,12.1,26,1544,662,Red loam,1.6 x 10^7,0,High,1.9%,345,High,No,None,None,Dry,4.5
114,Mangala,6.3,110,57,155,14.1,28,1801,921,Alluvial,1.6 x 10^7,0,High,1.9%,318,High,No,None,None,Dry,5.13
115,Mangala,6.4,112,53,149,13.5,25,1773,977,Laterite,1.6 x 10^7,0,High,2.0%,335,High,No,None,None,Humid,4.12
116,Sumangala,5.6,109,53,145,12.6,27,1885,820,Laterite,2.0 x 10^7,0,High,1.9%,308,High,No,None,None,Humid,4.64
117,Shreemangala,6.3,108,58,148,12.7,25,1888,860,Red loam,1.9 x 10^7,0,High,1.9%,345,High,No,None,None,Dry,5.0
118,Mangala,6.5,98,49,123,10.9,24,1742,960,Alluvial,1.4 x 10^7,1.5 x 10^5,High,1.9%,305,Low,No,None,None,Humid,2.5
119,Sumangala,5.7,112,44,158,14.0,27,1746,599,Laterite,1.2 x 10^7,1.5 x 10^5,High,1.7%,323,High,No,None,Phosphorus,Rainy,2.74
120,Shreemangala,6.2,104,54,147,14.0,26,1891,637,Alluvial,1.6 x 10^7,0,High,2.0%,319,High,No,None,None,Humid,4.56
121,Sumangala,6.1,116,50,148,12.4,28,1924,748,Alluvial,1.9 x 10^7,0,High,1.8%,330,High,No,None,None,Dry,4.61
122,Sumangala,6.0,110,60,159,14.4,26,1780,580,Laterite,1.8 x 10^7,0,High,1.9%,307,High,No,None,None,Rainy,4.93
123,SK Local,6.0,104,59,140,12.9,25,1584,891,Alluvial,1.6 x 10^7,0,High,2.0%,301,High,No,None,None,Humid,2.97
124,Shreemangala,5.7,107,51,159,12.9,27,1817,882,Laterite,1.8 x 10^7,0,High,1.9%,303,High,No,None,None,Humid,5.53
125,SK Local,6.2,126,42,149,11.6,20,1625,961,Laterite,1.2 x 10^7,2.4 x 10^5,High,1.3%,323,Low,Yes,Koleroga (Mahali),Phosphorus,Dry,1.28
126,SK Local,5.9,106,52,152,14.5,27,1792,851,Alluvial,1.9 x 10^7,0,High,1.9%,309,High,No,None,None,Rainy,3.74
127,SK Local,5.5,125,46,127,12.0,22,1701,575,Red loam,1.4 x 10^7,0.2 x 10^5,Low,1.8%,331,Low,No,None,None,Rainy,2.56
128,Mangala,7.0,90,58,157,12.7,28,1895,754,Alluvial,1.4 x 10^7,1.2 x 10^5,Moderate,1.2%,322,High,Yes,Spindle Bug,Potassium,Rainy,1.51
129,Mangala,6.0,120,55,150,12.7,26,1713,588,Laterite,1.6 x 10^7,0,High,2.0%,318,High,No,None,None,Dry,4.22
130,SK Local,6.6,104,43,126,14.5,24,1329,791,Alluvial,1.1 x 10^7,0.8 x 10^5,Low,1.4%,288,Moderate,No,None,Nitrogen,Rainy,1.23
131,Shreemangala,5.2,89,55,129,14.6,28,2045,637,Alluvial,1.1 x 10^7,0.0 x 10^5,Moderate,2.0%,318,Low,Yes,Spindle Bug,Phosphorus,Dry,2.03
132,Sumangala,5.7,120,55,140,12.1,25,1570,942,Red loam,1.9 x 10^7,0,High,2.0%,303,High,No,None,None,Humid,4.75
133,SK Local,6.4,113,58,159,14.1,26,1858,683,Laterite,1.9 x 10^7,0,High,1.9%,313,High,No,None,None,Rainy,3.74
134,Shreemangala,5.9,103,60,154,14.1,27,1699,663,Red loam,1.5 x 10^7,0,High,1.9%,332,High,No,None,None,Dry,5.05
135,SK Local,5.7,100,57,140,12.6,24,1744,630,Red loam,1.6 x 10^7,0,High,1.9%,327,High,No,None,None,Rainy,3.05
136,SK Local,5.5,109,58,153,13.6,27,1676,608,Red loam,1.8 x 10^7,0,High,2.0%,348,High,No,None,None,Dry,3.04
137,Shreemangala,6.3,108,50,152,14.7,26,1659,839,Alluvial,1.6 x 10^7,0,High,1.8%,300,High,No,None,None,Dry,5.06
138,Shreemangala,5.7,120,51,149,15.0,27,1935,638,Laterite,1.6 x 10^7,0,High,1.8%,339,High,No,None,None,Rainy,4.51
139,Sumangala,5.7,103,51,157,14.5,28,1862,861,Alluvial,1.8 x 10^7,0,High,1.9%,331,High,No,None,None,Dry,4.85
140,Sumangala,5.2,102,47,122,12.5,22,1420,529,Alluvial,1.3 x 10^7,2.2 x 10^5,High,1.8%,342,Moderate,No,None,Potassium,Dry,1.68
141,Shreemangala,6.2,116,52,135,14.6,20,2036,768,Alluvial,1.1 x 10^7,2.8 x 10^5,Low,1.8%,292,High,Yes,Spindle Bug,Phosphorus,Humid,2.14
142,SK Local,6.4,118,60,144,13.0,26,1949,907,Laterite,1.7 x 10^7,0,High,2.0%,308,High,No,None,None,Humid,3.14
143,SK Local,7.0,121,49,147,12.7,22,1498,562,Laterite,1.4 x 10^7,2.7 x 10^5,Low,1.2%,318,Low,No,None,Potassium,Dry,1.49
144,Mangala,6.3,105,60,148,14.2,27,1885,940,Red loam,1.8 x 10^7,0,High,1.9%,306,High,No,None,None,Dry,5.1
145,Shreemangala,6.9,118,46,152,11.6,25,1616,775,Alluvial,1.3 x 10^7,1.7 x 10^5,High,1.5%,319,High,Yes,Koleroga (Mahali),Nitrogen,Rainy,1.53
146,SK Local,5.7,111,57,145,13.8,25,1912,925,Laterite,1.8 x 10^7,0,High,1.8%,316,High,No,None,None,Humid,3.27
147,SK Local,5.3,80,60,153,15.0,25,1445,698,Laterite,1.2 x 10^7,2.9 x 10^5,Moderate,1.4%,267,High,No,None,Potassium,Rainy,1.63
148,SK Local,6.2,96,46,156,12.9,23,1813,586,Alluvial,1.4 x 10^7,0.5 x 10^5,High,1.5%,260,Low,Yes,Spindle Bug,Potassium,Dry,1.8
149,Sumangala,5.7,110,40,154,12.1,21,2015,556,Laterite,1.4 x 10^7,2.2 x 10^5,Low,1.3%,347,Low,Yes,Spindle Bug,Phosphorus,Humid,1.79
150,SK Local,6.6,118,58,131,14.8,30,1772,980,Laterite,1.1 x 10^7,1.4 x 10^5,Moderate,1.4%,260,Moderate,No,None,None,Dry,1.72
151,Mangala,5.6,106,60,160,10.8,29,2212,528,Red loam,1.1 x 10^7,0.3 x 10^5,Moderate,1.2%,303,High,Yes,Koleroga (Mahali),Nitrogen,Dry,1.7
152,Sumangala,6.7,112,54,134,11.6,21,2154,687,Alluvial,1.3 x 10^7,0.1 x 10^5,Moderate,1.7%,274,Moderate,No,None,Nitrogen,Humid,2.58
153,SK Local,6.2,116,59,148,13.0,26,1812,529,Alluvial,1.9 x 10^7,0,High,1.9%,325,High,No,None,None,Dry,3.78
154,SK Local,6.2,114,59,146,13.3,27,1715,837,Alluvial,1.6 x 10^7,0,High,1.9%,309,High,No,None,None,Humid,3.82
155,Shreemangala,6.0,119,56,154,13.6,24,1860,812,Red loam,1.8 x 10^7,0,High,1.9%,344,High,No,None,None,Dry,4.6
156,Sumangala,5.5,105,54,142,11.3,29,1589,718,Red loam,1.4 x 10^7,1.8 x 10^5,Low,1.3%,348,Moderate,No,None,None,Dry,3.23
157,Mangala,6.1,105,50,140,14.1,24,1701,938,Laterite,1.7 x 10^7,0,High,1.9%,339,High,No,None,None,Rainy,4.74
158,SK Local,6.3,108,56,149,14.2,25,1900,922,Red loam,1.9 x 10^7,0,High,1.9%,325,High,No,None,None,Humid,3.24
159,Sumangala,6.0,113,57,153,14.9,28,1655,901,Red loam,1.7 x 10^7,0,High,1.9%,301,High,No,None,None,Dry,4.82
160,SK Local,6.1,106,60,148,12.9,25,1835,850,Laterite,1.8 x 10^7,0,High,1.9%,302,High,No,None,None,Humid,3.9
161,Shreemangala,6.1,120,55,129,14.9,25,2349,915,Red loam,1.3 x 10^7,1.1 x 10^5,Moderate,1.5%,339,Moderate,Yes,Spindle Bug,Nitrogen,Dry,1.9
162,Shreemangala,7.0,119,50,143,10.4,29,2433,747,Red loam,1.4 x 10^7,0.5 x 10^5,Moderate,1.9%,269,High,Yes,Spindle Bug,Potassium,Humid,1.88
163,Mangala,5.9,115,52,149,13.4,24,1599,589,Alluvial,1.7 x 10^7,0,High,1.9%,325,High,No,None,None,Rainy,4.32
164,Sumangala,6.1,120,58,150,14.4,28,1977,871,Alluvial,1.7 x 10^7,0,High,1.9%,301,High,No,None,None,Rainy,4.95
165,SK Local,5.7,86,40,130,13.6,30,2017,640,Alluvial,1.2 x 10^7,0.4 x 10^5,Low,1.9%,295,High,Yes,Spindle Bug,Nitrogen,Rainy,1.73
166,Sumangala,6.0,127,46,144,13.3,30,1472,578,Laterite,1.1 x 10^7,1.8 x 10^5,High,1.7%,349,Low,No,None,None,Rainy,3.21
167,Mangala,5.8,120,53,157,14.0,24,1899,677,Red loam,1.7 x 10^7,0,High,1.9%,331,High,No,None,None,Dry,4.15
168,Sumangala,6.1,105,53,148,13.3,28,1566,545,Laterite,1.7 x 10^7,0,High,1.9%,329,High,No,None,None,Rainy,4.41
169,Sumangala,5.2,124,46,130,10.9,22,1718,580,Red loam,1.3 x 10^7,1.7 x 10^5,High,1.5%,276,Moderate,Yes,Spindle Bug,Phosphorus,Rainy,1.86
170,Mangala,5.9,123,46,146,10.7,30,2320,740,Alluvial,1.5 x 10^7,2.6 x 10^5,High,1.6%,283,Moderate,Yes,Koleroga (Mahali),None,Rainy,1.66
